Sentence,Categories,Target Group,Offensive Words
hum overseas ko khti hai hukumat k ho pakistan a laro to dalla khud yahan pe kia kar rhy hein,political offensive,no-target,dalla
beghairat ki had to mariyam aurangzeb ny kr d thi london mein,political offensive,pmln,beghairat
pakistan k pesy kha chor mariyam central london mein phir rhi hai,political offensive,pmln,chor
sharam baich khai hai pmln k members ny madarchod saly,political offensive,pmln,madarchod
maryan aurangzeb ny sabit kardya beghairat jo bnda hota hai usy sharm nahi ati chahye wo dob ky mar jay,political offensive,no-target,beghairat
halat to ye hai inki ky ab koi mulk nahi bolata inko k kahi pesy na mang ln,political offensive,no-target,no-offensive
bhikari shehbaz shareef china ja kr bhi keh raha apny cameras humary mulk ki tarf kro or humy imdaad do,political offensive,pmln,bhikari
bilawal kutta cash kyun imdadi samaan nahi,political offensive,ppp,kutta
ary ko b bnd kardya jo ek channel sach bolta tha is kutta hakumat ny,political offensive,no-target,kutta
or pta nahi kis ko khareed gay y noon league jahil foj to khareed lia,political offensive,pmln,jahil
bilawal kutta aur zardari khinzir,political offensive,ppp,"khinzir, kutta"
jo bhosri ke gatar ka dhakan lagate hue je bhutto nare hain woh 8 arab rashan khamoshi se taqseem kar gaye,political offensive,ppp,bhosri ke
ministry pe us ko betha dya hai jo khd corrupt,political offensive,no-target,no-offensive
aby ye minister to bemar tha kursi mlty hi sala thk hogya,political offensive,no-target,no-offensive
yeh lo pistol aur miyan sahab khudkushi kar,political offensive,pmln,no-offensive
saray bolo bhikari kaun bilawal rani bhutto kam zardari,political offensive,ppp,"bilawal rani, bhikari"
jhota nawaz shareef kehta hai humara london mein to kia khin b koi property nahi,political offensive,pmln,jhota
ji bilkul pti ke hi kutta tayyar ho rahe hain jinhe haddi milne lagi hai bhonkna ki,political offensive,pti,"bhonkna, kutta"
teri sister ka yar to great leader hai na,political offensive,no-target,no-offensive
is bilawal kanjar ko sahi gali par rahi hain,political offensive,ppp,kanjar
qarza de dya imf ny in bhikari ko,political offensive,no-target,bhikari
han bhsi 4 mah tk shoes chatny ka inam ml gya h ghulamo ko,political offensive,no-target,no-offensive
imran khan bhi to pak ko ek kamzor rayasat batata tha bsdk ka,political offensive,pti,bsdk
sare leader bs apna faida sochty hain kutta,political offensive,no-target,kutta
chod k rakh dya hai mulk ko is hukumat ny,political offensive,no-target,chod
humary wazir ko quran tk to parhna nahi ata kafir,political offensive,no-target,kafir
bilawal rani ab bas khanay ka waqt gaya hisaab dene,political offensive,ppp,bilawal rani
yeh khusra pakistan ki taqdeer badlay ga,political offensive,no-target,khusra
agar imran niazi gandu ko munasib qeemat miley toh pore mulk ka soda kar denge,political offensive,pti,gandu
tum log chotiya ho nawaz ke tukron par palne wala kutta,political offensive,pmln,"chotiya, kutta"
herat hai kaise ghaddar log hum par musallat hain,political offensive,no-target,ghaddar
kutta bhonky usy b haddi ml jati hai shehbaz shareef gali hi mlti hain,political offensive,pmln,kutta
bhai matlb pm kutta se bhi badtar hai,political offensive,no-target,kutta
esa hi hai bhai kutta bhi bhtr humara hukumat se,political offensive,no-target,kutta
bhenchod pti waly b janwat hi hain,political offensive,pti,bhenchod
lo g pmln k kutta mein se ek kutta bhonk para,political offensive,pmln,kutta
sindh hukoomat naihel honay ke tamam record tor chuki hai,political offensive,no-target,no-offensive
tu hai kutta apny leader ki trha jo hr time rota rhta,political offensive,no-target,kutta
ek to pmln k members jahil hn itny inhe jawab nahi deny aty : p,political offensive,pmln,jahil
humare jitne bhi hukmaran rahe sab ke naalaiq thire,political offensive,no-target,naalaiq
zardari khandan loot maar ke liye bhutto ban baitha,political offensive,ppp,loot maar
sub siyasatdan ghaddar hain,political offensive,no-target,ghaddar
isb mein hira mandi walo ki hukumat agai khuda hifazat kry,political offensive,no-target,no-offensive
pak me lesbian ki shadi ka kanon pass hogya bs yahi reh gya kutta hukumat mein,political offensive,no-target,kutta
pehle khandan loot ke kha gaya ab yeh zanana mardana aa hai mulk ko lootne,political offensive,no-target,no-offensive
mariyam nawaz to nighty me ghoom rhi hai y hamara ikhlaq,political offensive,pmln,no-offensive
kaun se kutta wahi to nahi jo ne paale hain,political offensive,no-target,kutta
chor hukumat,political offensive,no-target,chor
ghulam ho tm pmln k,political offensive,pmln,no-offensive
agar masjid par pabandi lagi to bilawal ke zinda rehne bhi lag jayegi,political offensive,ppp,no-offensive
jhota hai imran khan,political offensive,pti,jhota
pdm ka choor dala,political offensive,no-target,no-offensive
pm hamara chor hai or bhikari,political offensive,no-target,"bhikari, chor"
zardari khinzir aur bilawal kutta da putar yeh ajeeb milaap hai kutta kaise hosakta,political offensive,ppp,"kutta da putar, khinzir, kutta"
mian sahib ki sehat ab theek lagti hai wapis bula lo dalla ko,political offensive,pmln,dalla
lanat hai un senior siyasatdan par jo us ke peechay khare hote hain,political offensive,no-target,lanat
allah hum sab ko fitna e youthiya se bachaye ameen,political offensive,pti,"youthiya, fitna"
riyasat ek dain ka kirdar nibhati hai,political offensive,no-target,dain
sindh mein raaj hi kutta ka hai iss waqt,political offensive,no-target,kutta
aap ny vote ko izzat do nara mara tha ab booot de k mamlat hl kr rhy ho awam me jaogy lag pta jaega,political offensive,no-target,no-offensive
1 din ilan hoga niazi mar gaya bhenchod,political offensive,pti,bhenchod
pakistan ky khazana kha gay hein ye pti waly madarchod,political offensive,pti,madarchod
sindh ke sab se bade chor zardari and company,political offensive,ppp,chor
rana sanaullah bharwa qadam barhao tumhari hukomat ka aakhri din hoga inshallah,political offensive,pmln,bharwa
bhutto madarchod jab tak mare ga nahi sindh bechara aise hi ralta rahe,political offensive,ppp,madarchod
awam nahi sirf chand gandu youthiya hai pti ky sath,political offensive,pti,"youthiya, gandu"
bilawal kutta ka bacha hai yeh to sab ko pata lekin aap logon nahi ke zardari bhi,political offensive,ppp,kutta
gandum chor sindh sarkar,political offensive,no-target,chor
peoples party ke khoon mein sirf corruption karna money laundering hai beghairat,political offensive,ppp,beghairat
chor sale pakistan ka dushman,political offensive,no-target,chor
fawad daboo ko patta daalo,political offensive,pti,no-offensive
chor daku ko baaizat bari ker rahe hain aur corruption ke khilaf imaan daar leader arrest,political offensive,no-target,"chor, daku"
6 maah mein jo mulk diwaliya ker diya hai abhi bhi pait nhi bhara pmln ka haramkhor,political offensive,pmln,haramkhor
bilawal bhi khusra ki tarah roz bheek maangta hai,political offensive,ppp,khusra
patwari ka doosra baap kaun,political offensive,pmln,patwari
nawaz sharif hamara leader nahi hai woh ek chor hain uske bachay bhi,political offensive,pmln,chor
be sharmi ghairti ki bhi had phelai bilawal zardari khusra ne,political offensive,ppp,khusra
zulfi bukhari par mulk aur qaum se ghaddari ka muqadma chalaya jaye,political offensive,pti,no-offensive
sirf beghairat patwari k ilawa sb ki red line hai # ik,political offensive,pmln,"beghairat, patwari"
sindh hukumat chahe to sharaab mein bhi alcohol na nikle,political offensive,no-target,no-offensive
ab waqt ah gya imported hukumat ko ghr bhjny ka inshallah,political offensive,no-target,no-offensive
aisi hukoomat par bhi lanat,political offensive,no-target,lanat
aur sindh ki awaam ko kutta se nijaat dilao,political offensive,no-target,kutta
gali mein shor hai bilawal gandum chor,political offensive,ppp,chor
ratt 12 repay disel or ptroll kame hoa hy tbdili wly keeray imrando youthia,political offensive,pti,imrando
bhenchod bhutto,political offensive,ppp,bhenchod
